"light","treatment","period","n_total","n_refuge","prop_refuge"
"dark","catfish","before",66,26,0.393939393939394
"dark","catfish","during",99,47,0.474747474747475
"dark","catfish","after",66,46,0.696969696969697
"dark","control","before",60,22,0.366666666666667
"dark","control","during",90,38,0.422222222222222
"dark","control","after",60,28,0.466666666666667
"dark","eel","before",66,18,0.272727272727273
"dark","eel","during",99,41,0.414141414141414
"dark","eel","after",66,24,0.363636363636364
"light","catfish","before",66,34,0.515151515151515
"light","catfish","during",99,71,0.717171717171717
"light","catfish","after",66,48,0.727272727272727
"light","control","before",60,24,0.4
"light","control","during",90,48,0.533333333333333
"light","control","after",60,49,0.816666666666667
"light","eel","before",66,23,0.348484848484849
"light","eel","during",99,49,0.494949494949495
"light","eel","after",66,35,0.53030303030303
